site,driver,ensemble_weight,season
S1-Ulhas River,ph,0.249268522157784,premonsoon
S1-Ulhas River,dissolvedo2,0.15559600995854575,premonsoon
S1-Ulhas River,chlorophyll,0.15020744385577342,premonsoon
S1-Ulhas River,temp,0.12424448615388546,premonsoon
S1-Ulhas River,tds,0.114673247764055,premonsoon
S1-Ulhas River,orp,0.11324744070641399,premonsoon
S1-Ulhas River,bga,0.0927628494035425,premonsoon
S10-Chivla River,ph,0.20727336024183654,premonsoon
S10-Chivla River,chlorophyll,0.1965973667879353,premonsoon
S10-Chivla River,bga,0.13146349655798642,premonsoon
S10-Chivla River,temp,0.1270064801947025,premonsoon
S10-Chivla River,dissolvedo2,0.12692593257272514,premonsoon
S10-Chivla River,tds,0.11992522348219915,premonsoon
S10-Chivla River,orp,0.09080814016261503,premonsoon
S11-Powai Lake,ph,0.24506374522392133,premonsoon
S11-Powai Lake,temp,0.16006778406801542,premonsoon
S11-Powai Lake,dissolvedo2,0.1355382217327869,premonsoon
S11-Powai Lake,tds,0.12196157988441439,premonsoon
S11-Powai Lake,chlorophyll,0.12160979866668975,premonsoon
S11-Powai Lake,bga,0.11263473321772564,premonsoon
S11-Powai Lake,orp,0.10312413720644657,premonsoon
S2-Kalu River,ph,0.22570352502419844,premonsoon
S2-Kalu River,dissolvedo2,0.1695031427800733,premonsoon
S2-Kalu River,temp,0.16419910105202554,premonsoon
S2-Kalu River,bga,0.14414556158081251,premonsoon
S2-Kalu River,tds,0.11350358354785278,premonsoon
S2-Kalu River,chlorophyll,0.10489842399813915,premonsoon
S2-Kalu River,orp,0.0780466620168981,premonsoon
S3-Ambernath Lake,chlorophyll,0.2060254671957527,premonsoon
S3-Ambernath Lake,dissolvedo2,0.1907536513355444,premonsoon
S3-Ambernath Lake,ph,0.1574511788061784,premonsoon
S3-Ambernath Lake,temp,0.13793831501511486,premonsoon
S3-Ambernath Lake,bga,0.10772922543416785,premonsoon
S3-Ambernath Lake,orp,0.10107698759898738,premonsoon
S3-Ambernath Lake,tds,0.09902517461425428,premonsoon
S4-Bhandup Lake,ph,0.2184985801606228,premonsoon
S4-Bhandup Lake,tds,0.16050764651101268,premonsoon
S4-Bhandup Lake,orp,0.15930638223701235,premonsoon
S4-Bhandup Lake,temp,0.1319710454439424,premonsoon
S4-Bhandup Lake,dissolvedo2,0.12924983850761357,premonsoon
S4-Bhandup Lake,chlorophyll,0.11105465315333674,premonsoon
S4-Bhandup Lake,bga,0.08941185398645952,premonsoon
S5-Dhamapur Lake,ph,0.25433708232406993,premonsoon
S5-Dhamapur Lake,chlorophyll,0.1585261871494744,premonsoon
S5-Dhamapur Lake,tds,0.14554342449085203,premonsoon
S5-Dhamapur Lake,dissolvedo2,0.13921159527737897,premonsoon
S5-Dhamapur Lake,bga,0.11283225664947541,premonsoon
S5-Dhamapur Lake,temp,0.09562511200761545,premonsoon
S5-Dhamapur Lake,orp,0.09392434210113387,premonsoon
S6-Shirpur Lake,ph,0.2858711760394119,premonsoon
S6-Shirpur Lake,bga,0.13731987717725505,premonsoon
S6-Shirpur Lake,temp,0.13062719297484018,premonsoon
S6-Shirpur Lake,dissolvedo2,0.13020339014901963,premonsoon
S6-Shirpur Lake,tds,0.11730924727457676,premonsoon
S6-Shirpur Lake,orp,0.1060563285739932,premonsoon
S6-Shirpur Lake,chlorophyll,0.09261278781090312,premonsoon
S7-Varawade River,ph,0.27098630095624354,premonsoon
S7-Varawade River,dissolvedo2,0.15000470413038094,premonsoon
S7-Varawade River,tds,0.14708989888292365,premonsoon
S7-Varawade River,chlorophyll,0.13463271221437126,premonsoon
S7-Varawade River,temp,0.1137698577777917,premonsoon
S7-Varawade River,bga,0.10348874366669146,premonsoon
S7-Varawade River,orp,0.0800277823715974,premonsoon
S8-Gotli River,ph,0.26160323174008204,premonsoon
S8-Gotli River,tds,0.1389604257895255,premonsoon
S8-Gotli River,chlorophyll,0.13398537805104382,premonsoon
S8-Gotli River,dissolvedo2,0.12335353262046611,premonsoon
S8-Gotli River,temp,0.1200168006559319,premonsoon
S8-Gotli River,orp,0.11503490853841031,premonsoon
S8-Gotli River,bga,0.10704572260454016,premonsoon
S9-Karli River,ph,0.23586665066358323,premonsoon
S9-Karli River,temp,0.17753552236756237,premonsoon
S9-Karli River,dissolvedo2,0.14642644114602674,premonsoon
S9-Karli River,chlorophyll,0.13471794971613002,premonsoon
S9-Karli River,tds,0.1264354974755673,premonsoon
S9-Karli River,orp,0.11766087968990772,premonsoon
S9-Karli River,bga,0.061357058941222654,premonsoon
